identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
www.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:11:54 UTC,2024-07-22 20:11:54 UTC
gleague.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:12:48 UTC,2024-07-22 20:12:48 UTC
2kleague.nba.com,URL,,false,false,high,high,high,critical,,2024-07-22 20:13:04 UTC,2025-10-13 14:47:13 UTC
bal.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:13:21 UTC,2024-07-22 20:13:21 UTC
content-api-nextgen-prod.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:13:43 UTC,2024-07-22 20:13:43 UTC
content-api-prod.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:13:55 UTC,2024-07-22 20:13:55 UTC
core-api.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:14:12 UTC,2024-07-22 20:14:12 UTC
id.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:14:52 UTC,2024-07-22 20:14:52 UTC
stats-trafficcop-prod.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:15:09 UTC,2024-07-22 20:15:09 UTC
cdn.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:15:22 UTC,2024-07-22 20:15:22 UTC
cms.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:15:34 UTC,2024-07-22 20:15:34 UTC
stats.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:15:48 UTC,2024-07-22 20:15:48 UTC
identity.nba.com,URL,"",true,true,high,high,high,critical,,2024-07-22 20:15:59 UTC,2024-07-22 20:15:59 UTC
www.wnba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:06:43 UTC,2024-11-21 19:06:43 UTC
teamportal.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:07:20 UTC,2024-11-21 19:07:20 UTC
cweb-ott.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:07:45 UTC,2024-11-21 19:07:45 UTC
syndication.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:08:03 UTC,2024-11-21 19:08:03 UTC
stats.wnba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:08:20 UTC,2024-11-21 19:08:20 UTC
stats.gleague.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:08:38 UTC,2024-11-21 19:08:38 UTC
stats.2kleague.nba.com,URL,,false,false,high,high,high,critical,,2024-11-21 19:08:59 UTC,2025-10-13 14:47:13 UTC
cdn-bal.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:09:36 UTC,2024-11-21 19:09:36 UTC
corp-dev.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:09:51 UTC,2024-11-21 19:09:51 UTC
manage.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:10:13 UTC,2024-11-21 19:10:13 UTC
manage-teams.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:10:30 UTC,2024-11-21 19:10:30 UTC
nbafedsvc.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:10:50 UTC,2024-11-21 19:10:50 UTC
vote.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:11:03 UTC,2024-11-21 19:11:03 UTC
mcd.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:11:16 UTC,2025-08-01 14:15:36 UTC
mcdalerts.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:11:30 UTC,2025-08-01 14:15:36 UTC
elm.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:11:41 UTC,2024-11-21 19:11:41 UTC
lockervision.nba.com,URL,,true,true,high,high,high,critical,,2024-11-21 19:11:58 UTC,2024-11-21 19:11:58 UTC
com.nbaimd.gametime.nba2011,GOOGLE_PLAY_APP_ID,,true,true,,,,critical,,2024-11-21 19:12:18 UTC,2024-11-21 19:12:18 UTC
com.nbaimd.gametime.universal,APPLE_STORE_APP_ID,,true,true,,,,critical,,2024-11-21 19:12:30 UTC,2024-11-21 19:12:30 UTC
mindhealth.nba.com,URL,,false,false,high,high,high,critical,,2025-03-11 20:29:54 UTC,2025-03-11 20:29:54 UTC
totalhealth.nba.com,URL,,false,false,not_defined,not_defined,not_defined,critical,,2025-03-11 20:30:18 UTC,2025-03-11 20:30:18 UTC
adb.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:24:57 UTC,2025-04-21 22:24:57 UTC
br.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:25:13 UTC,2025-04-21 22:25:13 UTC
cares.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:25:28 UTC,2025-04-21 22:25:28 UTC
cl.nba.com,URL,,true,true,,,,critical,,2025-04-21 22:25:39 UTC,2025-04-21 22:25:39 UTC
coalition.nba.com,URL,,false,false,high,high,high,critical,,2025-04-21 22:25:54 UTC,2025-10-20 15:12:35 UTC
gamenotes.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:26:07 UTC,2025-04-21 22:26:07 UTC
grae.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:26:33 UTC,2025-04-21 22:26:33 UTC
2kleague-dev.nba.com,URL,,false,false,high,high,high,critical,,2025-04-21 22:26:46 UTC,2025-10-13 14:47:13 UTC
2kleague-qa.nba.com,URL,,false,false,high,high,high,critical,,2025-04-21 22:26:58 UTC,2025-10-13 14:47:13 UTC
gleague-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:27:14 UTC,2025-04-21 22:27:14 UTC
gleague-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:27:26 UTC,2025-04-21 22:27:26 UTC
www-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:28:08 UTC,2025-04-21 22:28:08 UTC
www-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:28:19 UTC,2025-04-21 22:28:19 UTC
www-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:28:35 UTC,2025-04-21 22:28:35 UTC
www-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:28:35 UTC,2025-04-21 22:28:35 UTC
socialimpact.nba.com,URL,,true,true,,,,critical,,2025-04-21 22:28:50 UTC,2025-04-21 22:28:50 UTC
www-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:29:04 UTC,2025-04-21 22:29:04 UTC
www-ng.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:29:14 UTC,2025-04-21 22:29:14 UTC
vth.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:29:26 UTC,2025-04-21 22:29:26 UTC
teamdirectory.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:29:46 UTC,2025-04-21 22:29:46 UTC
bal-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:29:58 UTC,2025-04-21 22:29:58 UTC
bal-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:30:09 UTC,2025-04-21 22:30:09 UTC
bal-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-04-21 22:30:21 UTC,2025-04-21 22:30:21 UTC
mcd-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcd-devint.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcd-perf.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcd-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcd-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcdalerts-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcdalerts-devint.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcdalerts-perf.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcdalerts-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
mcdalerts-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:15:35 UTC,2025-08-01 14:15:35 UTC
content-api-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-nextgen-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-nextgen-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-nextgen-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-sandbox.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
content-api-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:12 UTC,2025-08-01 14:16:12 UTC
core-api-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-devint.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-sandbox.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-uat-uc.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
core-api-uc.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:16:42 UTC,2025-08-01 14:16:42 UTC
cweb-ott-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:01 UTC,2025-08-01 14:17:01 UTC
cweb-ott-devint.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:01 UTC,2025-08-01 14:17:01 UTC
cweb-ott-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:01 UTC,2025-08-01 14:17:01 UTC
cweb-ott-uat-uc.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:01 UTC,2025-08-01 14:17:01 UTC
cweb-ott-uc.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:01 UTC,2025-08-01 14:17:01 UTC
identity-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:22 UTC,2025-08-01 14:17:22 UTC
identity-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:22 UTC,2025-08-01 14:17:22 UTC
identity-ng.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:22 UTC,2025-08-01 14:17:22 UTC
identity-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:23 UTC,2025-08-01 14:17:23 UTC
manage-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:42 UTC,2025-08-01 14:17:42 UTC
manage-teams-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:42 UTC,2025-08-01 14:17:42 UTC
manage-teams-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:43 UTC,2025-08-01 14:17:43 UTC
manage-teams-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:43 UTC,2025-08-01 14:17:43 UTC
manage-uat.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:43 UTC,2025-08-01 14:17:43 UTC
nbafedsvc-dev.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:56 UTC,2025-08-01 14:17:56 UTC
nbafedsvc-qa.nba.com,URL,,true,true,high,high,high,critical,,2025-08-01 14:17:56 UTC,2025-08-01 14:17:56 UTC
auth-identity.nba.com,URL,,true,true,,,,critical,,2025-08-21 16:29:47 UTC,2025-08-21 16:29:47 UTC
auth-identity-dev.nba.com,URL,,true,true,,,,critical,,2025-08-21 16:30:03 UTC,2025-08-21 16:30:03 UTC
auth-identity-qa.nba.com,URL,,true,true,,,,critical,,2025-08-21 16:30:15 UTC,2025-08-21 16:30:15 UTC
auth-identity-uat.nba.com,URL,,true,true,,,,critical,,2025-08-21 16:30:28 UTC,2025-08-21 16:30:28 UTC
aces-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
aces-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
aces.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
dream-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
dream-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
dream.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fever-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fever-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fever.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fire-dev.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fire-qa.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
fire.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
liberty-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:43 UTC,2025-08-21 16:33:43 UTC
liberty-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
liberty.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
lynx-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
lynx-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
lynx.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
mercury-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
mercury-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
mercury.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:44 UTC,2025-08-21 16:33:44 UTC
